PlotID,Row,RowID,FX,FY,BX,BY
H-102,1,H-102-1,556043.1761,405111.2948,556043.2876,405117.6877
H-102,2,H-102-2,556043.6986,405111.2976,556043.7446,405117.658
H-102,3,H-102-3,556044.2237,405111.2595,556044.2053,405117.6861
H-115,1,H-115-1,556067.0252,405110.9966,556067.08,405117.2037
H-115,2,H-115-2,556067.5861,405111.0064,556067.5705,405117.2097
H-115,3,H-115-3,556068.0566,405111.0045,556068.0194,405117.2122
H-207,1,H-207-1,556052.4424,405101.3022,556052.4767,405107.5969
H-207,2,H-207-2,556052.9705,405101.3085,556052.9416,405107.6028
H-207,3,H-207-3,556053.4745,405101.3101,556053.4584,405107.6134
H-217,1,H-217-1,556070.5407,405101.2836,556070.5254,405107.2914
H-217,2,H-217-2,556071.0993,405101.2788,556071.0769,405107.2789
H-217,3,H-217-3,556071.605,405101.2783,556071.5618,405107.2716
H-306,1,H-306-1,556050.5693,405091.6253,556050.5479,405097.8797
H-306,2,H-306-2,556051.1335,405091.615,556051.0873,405097.8726
H-306,3,H-306-3,556051.6608,405091.6257,556051.6218,405097.8656
H-312,1,H-312-1,556061.5315,405091.3809,556061.532,405097.7121
H-312,2,H-312-2,556061.9804,405091.3745,556062.0129,405097.7203
H-312,3,H-312-3,556062.5388,405091.3876,556062.5298,405097.7142
H-405,1,H-405-1,556048.733,405081.814,556048.7447,405088.2997
H-405,2,H-405-2,556049.2796,405081.806,556049.2825,405088.2849
H-405,3,H-405-3,556049.8181,405081.8089,556049.7787,405088.2743
H-411,1,H-411-1,556059.7896,405081.698,556059.682,405088.0475
H-411,2,H-411-2,556060.2858,405081.7074,556060.1983,405088.0358
H-411,3,H-411-3,556060.7932,405081.6935,556060.7406,405088.0521
H-502,1,H-502-1,556043.4452,405071.7707,556043.4191,405078.5894
H-502,2,H-502-2,556044.015,405071.7716,556043.8919,405078.603
H-502,3,H-502-3,556044.5983,405071.7749,556044.4297,405078.5939
H-509,1,H-509-1,556056.1571,405071.7081,556056.1702,405078.3915
H-509,2,H-509-2,556056.7686,405071.6871,556056.7407,405078.3891
H-509,3,H-509-3,556057.2855,405071.6777,556057.2343,405078.3984
L-108,1,L-108-1,556087.1632,405110.8403,556087.1937,405117.1062
L-108,2,L-108-2,556087.7291,405110.8102,556087.6434,405117.102
L-108,3,L-108-3,556088.2372,405110.8052,556088.1476,405117.0859
L-111,1,L-111-1,556092.4153,405110.7403,556092.4639,405116.9096
L-111,2,L-111-2,556092.9466,405110.7509,556092.9735,405116.9157
L-111,3,L-111-3,556093.4532,405110.7338,556093.4394,405116.8893
L-202,1,L-202-1,556076.2692,405101.1473,556076.2287,405107.2127
L-202,2,L-202-2,556076.7813,405101.1267,556076.6936,405107.2109
L-202,3,L-202-3,556077.3304,405101.1064,556077.2522,405107.2017
L-215,1,L-215-1,556099.9608,405100.6772,556099.9382,405106.8451
L-215,2,L-215-2,556100.4856,405100.688,556100.4398,405106.8668
L-215,3,L-215-3,556100.9473,405100.6871,556100.9153,405106.836
L-305,1,L-305-1,556081.6651,405091.299,556081.6238,405097.51
L-305,2,L-305-2,556082.186,405091.3041,556082.111,405097.5294
L-305,3,L-305-3,556082.727,405091.2771,556082.5744,405097.5097
L-315,1,L-315-1,556100.1064,405091.0513,556100.0211,405097.2755
L-315,2,L-315-2,556100.5897,405091.0395,556100.4836,405097.2724
L-315,3,L-315-3,556101.065,405091.0555,556100.9485,405097.2705
L-406,1,L-406-1,556083.5021,405081.5413,556083.5177,405087.7415
L-406,2,L-406-2,556084.0394,405081.4887,556084.0876,405087.7213
L-406,3,L-406-3,556084.549,405081.5015,556084.4878,405087.709
L-417,1,L-417-1,556103.6149,405081.3216,556103.6124,405087.4718
L-417,2,L-417-2,556104.1415,405081.3212,556104.0989,405087.4689
L-417,3,L-417-3,556104.7025,405081.2965,556104.5343,405087.4646
L-503,1,L-503-1,556078.3516,405071.5675,556078.2938,405078.0306
L-503,2,L-503-2,556078.8245,405071.5669,556078.8084,405078.029
L-503,3,L-503-3,556079.3111,405071.5561,556079.3076,405078.0262
L-511,1,L-511-1,556092.6766,405071.665,556092.6748,405077.8307
L-511,2,L-511-2,556093.2336,405071.6658,556093.2341,405077.8537
L-511,3,L-511-3,556093.725,405071.6451,556093.7397,405077.852
